Product Name,Description,URL,Page Number
trufflehog oss,scan github action trufflehog,https://github.com/marketplace/actions/trufflehog-oss,1
metrics embed,infographics generator plugin options display stats about your github account,https://github.com/marketplace/actions/metrics-embed,1
yq portable yaml processor,create read update delete merge validate do more yaml,https://github.com/marketplace/actions/yq-portable-yaml-processor,1
superlinter,superlinter readytorun collection linters code analyzers help validate your source code,https://github.com/marketplace/actions/super-linter,1
gosec security checker,runs gosec security checker,https://github.com/marketplace/actions/gosec-security-checker,1
rebuild armbian kernel,support amlogic rockchip allwinner boxes,https://github.com/marketplace/actions/rebuild-armbian-and-kernel,1
opencommit improve commits ai,replaces lame commit messages meaningful aigenerated messages when you push remote,https://github.com/marketplace/actions/opencommit-improve-commits-with-ai,1
checkout,checkout git repository particular version,https://github.com/marketplace/actions/checkout,1
ssh remote commands,executing remote ssh commands,https://github.com/marketplace/actions/ssh-remote-commands,1
github pages action,github action github pages deploy static files publish your site easily staticsitegeneratorsfriendly,https://github.com/marketplace/actions/github-pages-action,1
cache,cache artifacts like dependencies build outputs improve workflow execution time,https://github.com/marketplace/actions/cache,1
generatesnakegamefromgithubcontributiongrid,generates snake game from github user contributions grid output animation gif svg,https://github.com/marketplace/actions/generate-snake-game-from-github-contribution-grid,1
build push docker images,build push docker images buildx,https://github.com/marketplace/actions/build-and-push-docker-images,1
gh release,github action creating github releases,https://github.com/marketplace/actions/gh-release,1
rundigger,manage terraform collaboration,https://github.com/marketplace/actions/run-digger,1
rebuild armbian,build armbian linux,https://github.com/marketplace/actions/rebuild-armbian,1
github script,run simple scripts using github client,https://github.com/marketplace/actions/github-script,1
deploy github pages,action handle deployment process your project github pages,https://github.com/marketplace/actions/deploy-to-github-pages,1
chatgpt codereviewer,code review action powered chatgpt,https://github.com/marketplace/actions/chatgpt-codereviewer,1
ftp deploy,automate deploying websites more github action via ftp ftps,https://github.com/marketplace/actions/ftp-deploy,1
setup nodejs environment,setup nodejs environment adding problem matchers optionally downloading adding path,https://github.com/marketplace/actions/setup-node-js-environment,2
runansiblelint,run ansible lint,https://github.com/marketplace/actions/run-ansible-lint,2
fastpages easy use blogging platform support jupyter notebooks,converts jupyter notebooks word docs jekyll blog posts,https://github.com/marketplace/actions/fastpages-an-easy-to-use-blogging-platform-with-support-for-jupyter-notebooks,2
release drafter,drafts your next release notes pull requests merged master,https://github.com/marketplace/actions/release-drafter,2
profile readme development stats,you early night when you most productive during day let s check out your readme,https://github.com/marketplace/actions/profile-readme-development-stats,2
upload build artifact,upload build artifact can used subsequent workflow steps,https://github.com/marketplace/actions/upload-a-build-artifact,2
debugging tmate,debug your github action environment interactively using ssh web shell,https://github.com/marketplace/actions/debugging-with-tmate,2
blog post workflow,allows you show your latest blog posts your github profile project readme,https://github.com/marketplace/actions/blog-post-workflow,2
setup php action,github action php,https://github.com/marketplace/actions/setup-php-action,2
typosaction,run typos check spelling github action,https://github.com/marketplace/actions/typos-action,2
githubprofilesummarycards,generate profile summary cards commit default branch,https://github.com/marketplace/actions/github-profile-summary-cards,2
hercules insights,run various git history analyses srcdhercules,https://github.com/marketplace/actions/hercules-insights,2
wemakepythonstyleguide,runs wemakepythonstyleguide github action,https://github.com/marketplace/actions/wemake-python-styleguide,2
configure aws credentials action github action,configures aws credentials use subsequent steps github action workflow,https://github.com/marketplace/actions/configure-aws-credentials-action-for-github-actions,2
paths changes filter,execute your workflow steps only relevant files modified,https://github.com/marketplace/actions/paths-changes-filter,2
flutter action,setup your runner flutter environment,https://github.com/marketplace/actions/flutter-action,2
create pull request,creates pull request changes your repository action workspace,https://github.com/marketplace/actions/create-pull-request,2
git auto commit,automatically commits files which have been changed during workflow run push changes back remote repository,https://github.com/marketplace/actions/git-auto-commit,2
labeler,automatically label new pull requests based paths files being changed,https://github.com/marketplace/actions/labeler,2
make openwrt,support amlogic rockchip allwinner boxes,https://github.com/marketplace/actions/make-openwrt,2
